service_id,stop_id,arrival,departure
03301_01-02-2026-06.27,60000,0,0
03301_01-02-2026-06.27,70600,59,60
03301_01-02-2026-06.27,04040,85,86
03301_01-02-2026-06.27,04104,146,148
03301_01-02-2026-06.27,71801,184,184
0004O_01-02-2026-07.02,60000,0,0
0004O_01-02-2026-07.02,04040,78,81
0004O_01-02-2026-07.02,71801,172,172
03073_01-02-2026-07.27,60000,0,0
03073_01-02-2026-07.27,04007,25,26
03073_01-02-2026-07.27,04040,84,85
03073_01-02-2026-07.27,78400,128,130
03073_01-02-2026-07.27,04104,157,159
03073_01-02-2026-07.27,71801,199,215
03073_01-02-2026-07.27,79206,255,257
03073_01-02-2026-07.27,04307,272,272
0003I_01-02-2026-08.22,60000,0,0
0003I_01-02-2026-08.22,71801,157,157
03083_01-02-2026-08.27,60000,0,0
03083_01-02-2026-08.27,04040,78,79
03083_01-02-2026-08.27,71801,172,172
0003I_01-02-2026-08.50,60000,0,0
0003I_01-02-2026-08.50,71801,157,157
0002I_01-02-2026-09.22,60000,0,0
0002I_01-02-2026-09.22,04040,78,79
0002I_01-02-2026-09.22,71801,172,172
02561_01-02-2026-09.27,51003,0,0
02561_01-02-2026-09.27,50500,46,48
02561_01-02-2026-09.27,37300,94,96
02561_01-02-2026-09.27,37200,108,110
02561_01-02-2026-09.27,60000,176,207
02561_01-02-2026-09.27,04040,286,287
02561_01-02-2026-09.27,78400,332,334
02561_01-02-2026-09.27,04104,360,362
02561_01-02-2026-09.27,71801,401,409
02561_01-02-2026-09.27,79206,450,452
02561_01-02-2026-09.27,04307,467,467
0001I_01-02-2026-09.57,60000,0,0
0001I_01-02-2026-09.57,04040,80,81
0001I_01-02-2026-09.57,71801,172,172
0005O_01-02-2026-10.02,60000,0,0
0005O_01-02-2026-10.02,04040,80,83
0005O_01-02-2026-10.02,04104,139,139
0005O_01-02-2026-10.02,71801,182,182
03303_01-02-2026-10.27,60000,0,0
03303_01-02-2026-10.27,04040,80,81
03303_01-02-2026-10.27,71801,172,172
00605_01-02-2026-10.32,60000,0,0
00605_01-02-2026-10.32,04007,27,28
00605_01-02-2026-10.32,70600,74,75
00605_01-02-2026-10.32,81202,142,143
00605_01-02-2026-10.32,80108,175,176
00605_01-02-2026-10.32,80100,203,203
00533_01-02-2026-11.09,11511,0,0
00533_01-02-2026-11.09,11400,60,61
00533_01-02-2026-11.09,11300,87,88
00533_01-02-2026-11.09,80100,125,130
00533_01-02-2026-11.09,80108,156,157
00533_01-02-2026-11.09,81200,188,189
00533_01-02-2026-11.09,81202,205,206
00533_01-02-2026-11.09,04040,253,256
00533_01-02-2026-11.09,78400,305,307
00533_01-02-2026-11.09,04104,338,340
00533_01-02-2026-11.09,71801,376,376
0002I_01-02-2026-11.22,60000,0,0
0002I_01-02-2026-11.22,04040,78,79
0002I_01-02-2026-11.22,71801,172,172
03113_01-02-2026-11.27,60000,0,0
03113_01-02-2026-11.27,70600,58,59
03113_01-02-2026-11.27,04040,84,85
03113_01-02-2026-11.27,78400,128,130
03113_01-02-2026-11.27,04104,157,159
03113_01-02-2026-11.27,71801,199,199
0002I_01-02-2026-12.22,60000,0,0
