,service_id,stop_id,arrival,departure
0,OUIGO_01-11-2025-07.02,60000,0,0
1,OUIGO_01-11-2025-07.02,04040,78,81
2,OUIGO_01-11-2025-07.02,71801,172,172
3,OUIGO_01-11-2025-10.02,60000,0,0
4,OUIGO_01-11-2025-10.02,04040,80,83
5,OUIGO_01-11-2025-10.02,04104,139,142
6,OUIGO_01-11-2025-10.02,71801,182,182
7,OUIGO_01-11-2025-14.12,60000,0,0
8,OUIGO_01-11-2025-14.12,71801,157,157
9,OUIGO_01-11-2025-17.17,60000,0,0
10,OUIGO_01-11-2025-17.17,71801,157,157
11,OUIGO_01-11-2025-21.02,60000,0,0
12,OUIGO_01-11-2025-21.02,04040,79,82
13,OUIGO_01-11-2025-21.02,71801,172,172
14,OUIGO_01-11-2025-06.25,71801,0,0
15,OUIGO_01-11-2025-06.25,04040,95,98
16,OUIGO_01-11-2025-06.25,60000,172,172
17,OUIGO_01-11-2025-10.40,71801,0,0
18,OUIGO_01-11-2025-10.40,04040,93,96
19,OUIGO_01-11-2025-10.40,60000,172,172
20,OUIGO_01-11-2025-13.50,71801,0,0
21,OUIGO_01-11-2025-13.50,60000,157,157
22,OUIGO_01-11-2025-17.40,71801,0,0
23,OUIGO_01-11-2025-17.40,60000,157,157
24,OUIGO_01-11-2025-20.40,71801,0,0
25,OUIGO_01-11-2025-20.40,04104,30,33
26,OUIGO_01-11-2025-20.40,04040,92,95
27,OUIGO_01-11-2025-20.40,60000,182,182
28,OUIGO_02-11-2025-07.02,60000,0,0
29,OUIGO_02-11-2025-07.02,04040,78,81
30,OUIGO_02-11-2025-07.02,71801,172,172
31,OUIGO_02-11-2025-10.02,60000,0,0
32,OUIGO_02-11-2025-10.02,04040,80,83
33,OUIGO_02-11-2025-10.02,04104,139,142
34,OUIGO_02-11-2025-10.02,71801,182,182
35,OUIGO_02-11-2025-14.12,60000,0,0
36,OUIGO_02-11-2025-14.12,71801,157,157
37,OUIGO_02-11-2025-17.17,60000,0,0
38,OUIGO_02-11-2025-17.17,71801,157,157
39,OUIGO_02-11-2025-21.02,60000,0,0
40,OUIGO_02-11-2025-21.02,04040,79,82
41,OUIGO_02-11-2025-21.02,71801,172,172
42,OUIGO_02-11-2025-06.25,71801,0,0
43,OUIGO_02-11-2025-06.25,04040,95,98
44,OUIGO_02-11-2025-06.25,60000,172,172
45,OUIGO_02-11-2025-10.40,71801,0,0
46,OUIGO_02-11-2025-10.40,04040,93,96
47,OUIGO_02-11-2025-10.40,60000,172,172
48,OUIGO_02-11-2025-13.50,71801,0,0
49,OUIGO_02-11-2025-13.50,60000,157,157
50,OUIGO_02-11-2025-17.40,71801,0,0
51,OUIGO_02-11-2025-17.40,60000,157,157
52,OUIGO_02-11-2025-20.40,71801,0,0
53,OUIGO_02-11-2025-20.40,04104,30,33
54,OUIGO_02-11-2025-20.40,04040,92,95
55,OUIGO_02-11-2025-20.40,60000,182,182
