service_id,stop_id,arrival,departure
0004O_01-02-2026-07.02,60000,0,0
0004O_01-02-2026-07.02,04040,78,81
0004O_01-02-2026-07.02,71801,172,172
0005O_01-02-2026-10.02,60000,0,0
0005O_01-02-2026-10.02,04040,80,83
0005O_01-02-2026-10.02,04104,139,139
0005O_01-02-2026-10.02,71801,182,182
0002O_01-02-2026-14.12,60000,0,0
0002O_01-02-2026-14.12,71801,157,157
0002O_01-02-2026-17.17,60000,0,0
0002O_01-02-2026-17.17,71801,157,157
0001O_01-02-2026-20.10,60000,0,0
0001O_01-02-2026-20.10,04040,76,79
0001O_01-02-2026-20.10,71801,173,173
0003O_01-02-2026-21.02,60000,0,0
0003O_01-02-2026-21.02,04040,79,82
0003O_01-02-2026-21.02,71801,172,172
0004O_02-02-2026-07.02,60000,0,0
0004O_02-02-2026-07.02,04040,78,81
0004O_02-02-2026-07.02,71801,172,172
0005O_02-02-2026-10.02,60000,0,0
0005O_02-02-2026-10.02,04040,80,83
0005O_02-02-2026-10.02,04104,139,139
0005O_02-02-2026-10.02,71801,182,182
0002O_02-02-2026-14.12,60000,0,0
0002O_02-02-2026-14.12,71801,157,157
0002O_02-02-2026-17.17,60000,0,0
0002O_02-02-2026-17.17,71801,157,157
0001O_02-02-2026-20.10,60000,0,0
0001O_02-02-2026-20.10,04040,76,79
0001O_02-02-2026-20.10,71801,173,173
0003O_02-02-2026-21.02,60000,0,0
0003O_02-02-2026-21.02,04040,79,82
0003O_02-02-2026-21.02,71801,172,172
0004O_03-02-2026-07.02,60000,0,0
0004O_03-02-2026-07.02,04040,78,81
0004O_03-02-2026-07.02,71801,172,172
0005O_03-02-2026-10.02,60000,0,0
0005O_03-02-2026-10.02,04040,80,83
0005O_03-02-2026-10.02,04104,139,139
0005O_03-02-2026-10.02,71801,182,182
0002O_03-02-2026-14.12,60000,0,0
0002O_03-02-2026-14.12,71801,157,157
0002O_03-02-2026-17.17,60000,0,0
0002O_03-02-2026-17.17,71801,157,157
0001O_03-02-2026-20.10,60000,0,0
0001O_03-02-2026-20.10,04040,76,79
0001O_03-02-2026-20.10,71801,173,173
0003O_03-02-2026-21.02,60000,0,0
0003O_03-02-2026-21.02,04040,79,82
0003O_03-02-2026-21.02,71801,172,172
0004O_04-02-2026-07.02,60000,0,0
0004O_04-02-2026-07.02,04040,78,81
0004O_04-02-2026-07.02,71801,172,172
0005O_04-02-2026-10.02,60000,0,0
0005O_04-02-2026-10.02,04040,80,83
0005O_04-02-2026-10.02,04104,139,139
0005O_04-02-2026-10.02,71801,182,182
0002O_04-02-2026-14.12,60000,0,0
0002O_04-02-2026-14.12,71801,157,157
0002O_04-02-2026-17.17,60000,0,0
0002O_04-02-2026-17.17,71801,157,157
0001O_04-02-2026-20.10,60000,0,0
0001O_04-02-2026-20.10,04040,76,79
0001O_04-02-2026-20.10,71801,173,173
0003O_04-02-2026-21.02,60000,0,0
0003O_04-02-2026-21.02,04040,79,82
0003O_04-02-2026-21.02,71801,172,172
0004O_05-02-2026-07.02,60000,0,0
0004O_05-02-2026-07.02,04040,78,81
0004O_05-02-2026-07.02,71801,172,172
0005O_05-02-2026-10.02,60000,0,0
0005O_05-02-2026-10.02,04040,80,83
0005O_05-02-2026-10.02,04104,139,139
0005O_05-02-2026-10.02,71801,182,182
0002O_05-02-2026-14.12,60000,0,0
0002O_05-02-2026-14.12,71801,157,157
0002O_05-02-2026-17.17,60000,0,0
0002O_05-02-2026-17.17,71801,157,157
0001O_05-02-2026-20.10,60000,0,0
0001O_05-02-2026-20.10,04040,76,79
0001O_05-02-2026-20.10,71801,173,173
0003O_05-02-2026-21.02,60000,0,0
0003O_05-02-2026-21.02,04040,79,82
0003O_05-02-2026-21.02,71801,172,172
0004O_06-02-2026-07.02,60000,0,0
0004O_06-02-2026-07.02,04040,78,81
0004O_06-02-2026-07.02,71801,172,172
0005O_06-02-2026-10.02,60000,0,0
0005O_06-02-2026-10.02,04040,80,83
0005O_06-02-2026-10.02,04104,139,139
0005O_06-02-2026-10.02,71801,182,182
0002O_06-02-2026-14.12,60000,0,0
0002O_06-02-2026-14.12,71801,157,157
0002O_06-02-2026-17.17,60000,0,0
0002O_06-02-2026-17.17,71801,157,157
0001O_06-02-2026-20.10,60000,0,0
0001O_06-02-2026-20.10,04040,76,79
0001O_06-02-2026-20.10,71801,173,173
0003O_06-02-2026-21.02,60000,0,0
0003O_06-02-2026-21.02,04040,79,82
0003O_06-02-2026-21.02,71801,172,172
0004O_07-02-2026-07.02,60000,0,0
0004O_07-02-2026-07.02,04040,78,81
0004O_07-02-2026-07.02,71801,172,172
0005O_07-02-2026-10.02,60000,0,0
0005O_07-02-2026-10.02,04040,80,83
0005O_07-02-2026-10.02,04104,139,139
0005O_07-02-2026-10.02,71801,182,182
0002O_07-02-2026-14.12,60000,0,0
0002O_07-02-2026-14.12,71801,157,157
0002O_07-02-2026-17.17,60000,0,0
0002O_07-02-2026-17.17,71801,157,157
0001O_07-02-2026-20.10,60000,0,0
0001O_07-02-2026-20.10,04040,76,79
0001O_07-02-2026-20.10,71801,173,173
0003O_07-02-2026-21.02,60000,0,0
0003O_07-02-2026-21.02,04040,79,82
0003O_07-02-2026-21.02,71801,172,172
0004O_08-02-2026-07.02,60000,0,0
0004O_08-02-2026-07.02,04040,78,81
0004O_08-02-2026-07.02,71801,172,172
0005O_08-02-2026-10.02,60000,0,0
0005O_08-02-2026-10.02,04040,80,83
0005O_08-02-2026-10.02,04104,139,139
0005O_08-02-2026-10.02,71801,182,182
0002O_08-02-2026-14.12,60000,0,0
0002O_08-02-2026-14.12,71801,157,157
0002O_08-02-2026-17.17,60000,0,0
0002O_08-02-2026-17.17,71801,157,157
0001O_08-02-2026-20.10,60000,0,0
0001O_08-02-2026-20.10,04040,76,79
0001O_08-02-2026-20.10,71801,173,173
0003O_08-02-2026-21.02,60000,0,0
0003O_08-02-2026-21.02,04040,79,82
0003O_08-02-2026-21.02,71801,172,172
0004O_09-02-2026-07.02,60000,0,0
0004O_09-02-2026-07.02,04040,78,81
0004O_09-02-2026-07.02,71801,172,172
0005O_09-02-2026-10.02,60000,0,0
0005O_09-02-2026-10.02,04040,80,83
0005O_09-02-2026-10.02,04104,139,139
0005O_09-02-2026-10.02,71801,182,182
0002O_09-02-2026-14.12,60000,0,0
0002O_09-02-2026-14.12,71801,157,157
0002O_09-02-2026-17.17,60000,0,0
0002O_09-02-2026-17.17,71801,157,157
0001O_09-02-2026-20.10,60000,0,0
0001O_09-02-2026-20.10,04040,76,79
0001O_09-02-2026-20.10,71801,173,173
0003O_09-02-2026-21.02,60000,0,0
0003O_09-02-2026-21.02,04040,79,82
0003O_09-02-2026-21.02,71801,172,172
0004O_10-02-2026-07.02,60000,0,0
0004O_10-02-2026-07.02,04040,78,81
0004O_10-02-2026-07.02,71801,172,172
0005O_10-02-2026-10.02,60000,0,0
0005O_10-02-2026-10.02,04040,80,83
0005O_10-02-2026-10.02,04104,139,139
0005O_10-02-2026-10.02,71801,182,182
0002O_10-02-2026-14.12,60000,0,0
0002O_10-02-2026-14.12,71801,157,157
0002O_10-02-2026-17.17,60000,0,0
0002O_10-02-2026-17.17,71801,157,157
0001O_10-02-2026-20.10,60000,0,0
0001O_10-02-2026-20.10,04040,76,79
0001O_10-02-2026-20.10,71801,173,173
0003O_10-02-2026-21.02,60000,0,0
0003O_10-02-2026-21.02,04040,79,82
0003O_10-02-2026-21.02,71801,172,172
0004O_11-02-2026-07.02,60000,0,0
0004O_11-02-2026-07.02,04040,78,81
0004O_11-02-2026-07.02,71801,172,172
0005O_11-02-2026-10.02,60000,0,0
0005O_11-02-2026-10.02,04040,80,83
0005O_11-02-2026-10.02,04104,139,139
0005O_11-02-2026-10.02,71801,182,182
0002O_11-02-2026-14.12,60000,0,0
0002O_11-02-2026-14.12,71801,157,157
0002O_11-02-2026-17.17,60000,0,0
0002O_11-02-2026-17.17,71801,157,157
0001O_11-02-2026-20.10,60000,0,0
0001O_11-02-2026-20.10,04040,76,79
0001O_11-02-2026-20.10,71801,173,173
0003O_11-02-2026-21.02,60000,0,0
0003O_11-02-2026-21.02,04040,79,82
0003O_11-02-2026-21.02,71801,172,172
0004O_12-02-2026-07.02,60000,0,0
0004O_12-02-2026-07.02,04040,78,81
0004O_12-02-2026-07.02,71801,172,172
0005O_12-02-2026-10.02,60000,0,0
0005O_12-02-2026-10.02,04040,80,83
0005O_12-02-2026-10.02,04104,139,139
