service_id,stop_id,arrival,departure
08077_26-11-2025-07.35,78400,0,0
08077_26-11-2025-07.35,04104,28,30
08077_26-11-2025-07.35,71801,66,66
03301_26-11-2025-08.23,60000,0,0
03301_26-11-2025-08.23,04104,125,127
03301_26-11-2025-08.23,71801,169,169
08087_26-11-2025-08.41,78400,0,0
08087_26-11-2025-08.41,04104,29,31
08087_26-11-2025-08.41,71801,65,65
03073_26-11-2025-10.06,60000,0,0
03073_26-11-2025-10.06,04007,25,26
03073_26-11-2025-10.06,71000,84,85
03073_26-11-2025-10.06,78400,128,130
03073_26-11-2025-10.06,04104,157,159
03073_26-11-2025-10.06,71801,199,207
03073_26-11-2025-10.06,79206,245,247
03073_26-11-2025-10.06,04307,262,262
03091_26-11-2025-11.03,60000,0,0
03091_26-11-2025-11.03,04104,124,126
03091_26-11-2025-11.03,71801,164,164
02561_26-11-2025-12.02,51003,0,0
02561_26-11-2025-12.02,50500,43,45
02561_26-11-2025-12.02,37300,92,94
02561_26-11-2025-12.02,37200,109,111
02561_26-11-2025-12.02,60000,176,207
02561_26-11-2025-12.02,71000,286,287
02561_26-11-2025-12.02,78400,332,334
02561_26-11-2025-12.02,04104,360,362
02561_26-11-2025-12.02,71801,401,409
02561_26-11-2025-12.02,79206,450,452
02561_26-11-2025-12.02,04307,467,467
00533_26-11-2025-12.33,11511,0,0
00533_26-11-2025-12.33,11400,65,66
00533_26-11-2025-12.33,11300,92,93
00533_26-11-2025-12.33,80100,123,128
00533_26-11-2025-12.33,80108,153,154
00533_26-11-2025-12.33,81200,184,185
00533_26-11-2025-12.33,81202,201,202
00533_26-11-2025-12.33,71000,249,252
00533_26-11-2025-12.33,78400,301,303
00533_26-11-2025-12.33,04104,334,336
00533_26-11-2025-12.33,71801,372,372
34433_26-11-2025-12.33,78400,0,0
34433_26-11-2025-12.33,04104,31,33
34433_26-11-2025-12.33,71801,69,69
03993_26-11-2025-13.45,54413,0,0
03993_26-11-2025-13.45,02003,19,21
03993_26-11-2025-13.45,02002,34,36
03993_26-11-2025-13.45,50500,63,71
03993_26-11-2025-13.45,37200,130,132
03993_26-11-2025-13.45,71000,252,255
03993_26-11-2025-13.45,78400,295,297
03993_26-11-2025-13.45,04104,321,323
03993_26-11-2025-13.45,71801,363,363
03943_26-11-2025-13.45,51003,0,0
03943_26-11-2025-13.45,50500,42,56
03943_26-11-2025-13.45,37200,115,117
03943_26-11-2025-13.45,71000,237,240
03943_26-11-2025-13.45,78400,280,282
03943_26-11-2025-13.45,04104,306,308
03943_26-11-2025-13.45,71801,348,348
03113_26-11-2025-14.06,60000,0,0
03113_26-11-2025-14.06,70600,58,59
03113_26-11-2025-14.06,71000,84,85
03113_26-11-2025-14.06,78400,128,130
03113_26-11-2025-14.06,04104,157,159
03113_26-11-2025-14.06,71801,199,199
34813_26-11-2025-14.06,78400,0,0
34813_26-11-2025-14.06,04104,27,29
34813_26-11-2025-14.06,71801,69,69
09725_26-11-2025-15.42,60000,0,0
09725_26-11-2025-15.42,04007,26,28
09725_26-11-2025-15.42,71000,85,88
09725_26-11-2025-15.42,04104,142,144
09725_26-11-2025-15.42,71801,184,196
09725_26-11-2025-15.42,79206,235,238
09725_26-11-2025-15.42,04307,252,255
