ADIF_ID;RENFE_ID;STATION_NAME;LATITUD;LONGITUD;DIRECION;CP;POBLACION;PROVINCIA;PAIS;CERCANIAS;FEVE;COMUN
01001;01001;EL SORBITO (APD-CGD);37.208475;-5.706642;;;ALCALÁ DE GUADAÍRA;SEVILLA;ESPAÑA;NO;NO;
01002;01002;LA TRINIDAD   (APT-CGD);;;;;ALCALÁ DE GUADAÍRA;SEVILLA;ESPAÑA;NO;NO;
01003;01003;ARAHAL;37.268081;-5.548514;Calle Virgen de los Dolores, S/N;41600;ARAHAL;SEVILLA;ESPAÑA;NO;NO;
01004;01004;PARADAS (APD-CGD);;;;;PARADAS;SEVILLA;ESPAÑA;NO;NO;
01005;01005;MARCHENA;37.334282;-5.425519;Avenida Maestro Santos Ruano, 8;41620;MARCHENA;SEVILLA;ESPAÑA;NO;NO;
01006;01006;OJUELOS-LANTEJUELA (APD);;;;;MARCHENA;SEVILLA;ESPAÑA;NO;NO;
01007;01007;OSUNA;37.233899;-5.115026;Avenida Estacion Ferrocarril, S/N;41640;OSUNA;SEVILLA;ESPAÑA;NO;NO;
01008;01008;AGUADULCE (APD);;;;;AGUADULCE;SEVILLA;ESPAÑA;NO;NO;
01009;01009;PEDRERA;37.222396;-4.893519;Calle Manuel Aranda, 3;41566;PEDRERA;SEVILLA;ESPAÑA;NO;NO;
02002;PTE G;PUENTE GENIL-HERRERA;37.3579;-4.821638;Carretera A-318 - Km. 9 - Entre los Pueblos de Puente Genil (Córdoba) y Herrera (Sevilla);14500;PUENTE GENIL;CÓRDOBA;ESPAÑA;NO;NO;PTE G
02003;ANTEQ;ANTEQUERA-SANTA ANA;37.069881;-4.719014;Carretera Ma-5406 - Estacion Ferrocarril, S/N;29540;ANTEQUERA;MÁLAGA;ESPAÑA;NO;NO;ANTEQ
02030;02030;ANTEQUERA AV;37.0334437;-4.5612901;;;ANTEQUERA;MÁLAGA;ESPAÑA;NO;NO;ANTEQ
02110;02110;CAJA CENTRAL (MADRID;;;;;MADRID;MADRID;ESPAÑA;SI;NO;
02115;02115;CAJA DE BARCELONA;;;;;BARCELONA;BARCELONA;ESPAÑA;SI;NO;
03001;03001;MENGÍBAR-ARTICHUELA (APD-CGD);37.978219;-3.803308;Calle Camino Estacion Ferrocarril, S/N;23620;MENGÍBAR;JAÉN;ESPAÑA;NO;NO;
03002;03002;VILLARGORDO (APD);37.913359;-3.784829;;;JAÉN;JAÉN;ESPAÑA;NO;NO;
03003;03003;GRANENA (APD-CGD);37.847712;-3.765399;;;JAÉN;JAÉN;ESPAÑA;NO;NO;
03100;03100;JAÉN;37.779827;-3.790798;Plaza de Jaen por la Paz, 1;23007;JAÉN;JAÉN;ESPAÑA;NO;NO;
03102;03102;TORREDELCAMP(APD-CGD);;;;;TORRE DEL CAMPO;JAÉN;ESPAÑA;NO;NO;
