trip_id,origin,destination,train_type,departure,arrival,duration,service_id,Basico,Elige,Premium
03073,60000,70200,AVE,2023-06-01 07:30:00,2023-06-01 07:53:00,0 days 00:23:00,03073_01-06-2023-07.30,34.00,37.40,64.20
19725,60000,70200,AVE,2023-06-01 13:25:00,2023-06-01 13:48:00,0 days 00:23:00,19725_01-06-2023-13.25,34.00,37.40,
03173,60000,70200,AVE,2023-06-01 17:30:00,2023-06-01 17:53:00,0 days 00:23:00,03173_01-06-2023-17.30,37.40,40.80,64.20
03393,60000,70200,AVE,2023-06-01 19:05:00,2023-06-01 19:27:00,0 days 00:22:00,03393_01-06-2023-19.05,18.40,20.25,43.45
06309,60000,70200,AVLO,2023-06-01 19:30:00,2023-06-01 19:53:00,0 days 00:23:00,06309_01-06-2023-19.30,7.00,,
03203,60000,70200,AVE,2023-06-01 20:40:00,2023-06-01 21:03:00,0 days 00:23:00,03203_01-06-2023-20.40,34.00,37.40,64.20
03063,60000,70600,AVE,2023-06-01 06:30:00,2023-06-01 07:25:00,0 days 00:55:00,03063_01-06-2023-06.30,18.15,24.20,59.25
03113,60000,70600,AVE,2023-06-01 11:30:00,2023-06-01 12:25:00,0 days 00:55:00,03113_01-06-2023-11.30,42.35,48.40,83.35
03143,60000,70600,AVE,2023-06-01 14:30:00,2023-06-01 15:25:00,0 days 00:55:00,03143_01-06-2023-14.30,18.15,24.20,123.60
03153,60000,70600,AVE,2023-06-01 15:30:00,2023-06-01 16:25:00,0 days 00:55:00,03153_01-06-2023-15.30,36.30,42.35,67.30
03393,60000,70600,AVE,2023-06-01 19:05:00,2023-06-01 19:06:00,0 days 00:01:00,03393_01-06-2023-19.05,14.90,19.15,47.25
06309,60000,70600,AVLO,2023-06-01 19:30:00,2023-06-01 20:29:00,0 days 00:59:00,06309_01-06-2023-19.30,35.00,,
03203,60000,70600,AVE,2023-06-01 20:40:00,2023-06-01 20:41:00,0 days 00:01:00,03203_01-06-2023-20.40,18.15,24.20,67.30
03063,60000,04040,AVE,2023-06-01 06:30:00,2023-06-01 07:51:00,0 days 01:21:00,03063_01-06-2023-06.30,25.75,33.10,63.05
03073,60000,04040,AVE,2023-06-01 07:30:00,2023-06-01 08:51:00,0 days 01:21:00,03073_01-06-2023-07.30,66.25,73.60,107.10
03083,60000,04040,AVE,2023-06-01 08:30:00,2023-06-01 09:45:00,0 days 01:15:00,03083_01-06-2023-08.30,36.80,44.05,63.05
03093,60000,04040,AVE,2023-06-01 09:30:00,2023-06-01 10:45:00,0 days 01:15:00,03093_01-06-2023-09.30,44.15,51.50,107.10
06303,60000,04040,AVLO,2023-06-01 10:30:00,2023-06-01 11:44:00,0 days 01:14:00,06303_01-06-2023-10.30,29.00,,
03113,60000,04040,AVE,2023-06-01 11:30:00,2023-06-01 12:51:00,0 days 01:21:00,03113_01-06-2023-11.30,44.15,51.50,87.50
03123,60000,04040,AVE,2023-06-01 12:30:00,2023-06-01 13:45:00,0 days 01:15:00,03123_01-06-2023-12.30,44.15,51.50,77.75
19725,60000,04040,AVE,2023-06-01 13:25:00,2023-06-01 14:47:00,0 days 01:22:00,19725_01-06-2023-13.25,51.50,58.90,
03143,60000,04040,AVE,2023-06-01 14:30:00,2023-06-01 15:51:00,0 days 01:21:00,03143_01-06-2023-14.30,25.75,33.10,156.05
03153,60000,04040,AVE,2023-06-01 15:30:00,2023-06-01 16:51:00,0 days 01:21:00,03153_01-06-2023-15.30,36.80,44.15,67.95
03163,60000,04040,AVE,2023-06-01 16:30:00,2023-06-01 17:45:00,0 days 01:15:00,03163_01-06-2023-16.30,51.50,58.90,116.90
03173,60000,04040,AVE,2023-06-01 17:30:00,2023-06-01 18:51:00,0 days 01:21:00,03173_01-06-2023-17.30,58.90,66.25,97.30
03183,60000,04040,AVE,2023-06-01 18:30:00,2023-06-01 19:45:00,0 days 01:15:00,03183_01-06-2023-18.30,51.50,58.90,87.50
03393,60000,04040,AVE,2023-06-01 19:05:00,2023-06-01 20:30:00,0 days 01:25:00,03393_01-06-2023-19.05,20.35,26.20,53.85
06309,60000,04040,AVLO,2023-06-01 19:30:00,2023-06-01 20:55:00,0 days 01:25:00,06309_01-06-2023-19.30,35.00,,
03203,60000,04040,AVE,2023-06-01 20:40:00,2023-06-01 22:05:00,0 days 01:25:00,03203_01-06-2023-20.40,36.80,44.15,67.95
03073,60000,78400,AVE,2023-06-01 07:30:00,2023-06-01 09:35:00,0 days 02:05:00,03073_01-06-2023-07.30,74.25,83.50,117.75
03093,60000,78400,AVE,2023-06-01 09:30:00,2023-06-01 11:29:00,0 days 01:59:00,03093_01-06-2023-09.30,55.70,64.95,130.10
03113,60000,78400,AVE,2023-06-01 11:30:00,2023-06-01 13:35:00,0 days 02:05:00,03113_01-06-2023-11.30,55.70,64.95,105.40
03123,60000,78400,AVE,2023-06-01 12:30:00,2023-06-01 14:29:00,0 days 01:59:00,03123_01-06-2023-12.30,55.70,64.95,93.05
03153,60000,78400,AVE,2023-06-01 15:30:00,2023-06-01 17:35:00,0 days 02:05:00,03153_01-06-2023-15.30,46.40,55.70,80.70
03173,60000,78400,AVE,2023-06-01 17:30:00,2023-06-01 19:35:00,0 days 02:05:00,03173_01-06-2023-17.30,74.25,83.50,117.75
06309,60000,78400,AVLO,2023-06-01 19:30:00,2023-06-01 21:39:00,0 days 02:09:00,06309_01-06-2023-19.30,35.00,,
03203,60000,78400,AVE,2023-06-01 20:40:00,2023-06-01 22:49:00,0 days 02:09:00,03203_01-06-2023-20.40,23.20,32.50,80.70
03073,60000,71500,AVE,2023-06-01 07:30:00,2023-06-01 10:04:00,0 days 02:34:00,03073_01-06-2023-07.30,82.15,92.45,128.25
03093,60000,71500,AVE,2023-06-01 09:30:00,2023-06-01 11:58:00,0 days 02:28:00,03093_01-06-2023-09.30,61.60,71.90,141.95
03113,60000,71500,AVE,2023-06-01 11:30:00,2023-06-01 14:04:00,0 days 02:34:00,03113_01-06-2023-11.30,61.60,71.90,114.60
19725,60000,71500,AVE,2023-06-01 13:25:00,2023-06-01 15:44:00,0 days 02:19:00,19725_01-06-2023-13.25,61.60,71.90,
03153,60000,71500,AVE,2023-06-01 15:30:00,2023-06-01 18:04:00,0 days 02:34:00,03153_01-06-2023-15.30,51.35,61.60,87.30
03173,60000,71500,AVE,2023-06-01 17:30:00,2023-06-01 20:04:00,0 days 02:34:00,03173_01-06-2023-17.30,82.15,92.45,128.25
03183,60000,71500,AVE,2023-06-01 18:30:00,2023-06-01 20:44:00,0 days 02:14:00,03183_01-06-2023-18.30,71.90,82.15,114.60
06309,60000,71500,AVLO,2023-06-01 19:30:00,2023-06-01 22:08:00,0 days 02:38:00,06309_01-06-2023-19.30,39.00,,
03203,60000,71500,AVE,2023-06-01 20:40:00,2023-06-01 23:18:00,0 days 02:38:00,03203_01-06-2023-20.40,25.70,35.95,87.30
06301,60000,71801,AVLO,2023-06-01 06:15:00,2023-06-01 08:45:00,0 days 02:30:00,06301_01-06-2023-06.15,15.00,,
03063,60000,71801,AVE,2023-06-01 06:30:00,2023-06-01 09:20:00,0 days 02:50:00,03063_01-06-2023-06.30,22.75,34.10,79.50
03071,60000,71801,AVE,2023-06-01 07:00:00,2023-06-01 09:30:00,0 days 02:30:00,03071_01-06-2023-07.00,46.95,60.40,90.40
03073,60000,71801,AVE,2023-06-01 07:30:00,2023-06-01 10:42:00,0 days 03:12:00,03073_01-06-2023-07.30,45.50,56.85,94.60
03081,60000,71801,AVE,2023-06-01 08:00:00,2023-06-01 10:30:00,0 days 02:30:00,03081_01-06-2023-08.00,40.25,53.70,90.40
03083,60000,71801,AVE,2023-06-01 08:30:00,2023-06-01 11:15:00,0 days 02:45:00,03083_01-06-2023-08.30,45.50,56.85,79.50
03091,60000,71801,AVE,2023-06-01 09:00:00,2023-06-01 11:30:00,0 days 02:30:00,03091_01-06-2023-09.00,80.50,93.95,161.80
03093,60000,71801,AVE,2023-06-01 09:30:00,2023-06-01 12:37:00,0 days 03:07:00,03093_01-06-2023-09.30,56.85,68.20,140.00
06303,60000,71801,AVLO,2023-06-01 10:30:00,2023-06-01 13:15:00,0 days 02:45:00,06303_01-06-2023-10.30,35.00,,
03113,60000,71801,AVE,2023-06-01 11:30:00,2023-06-01 14:42:00,0 days 03:12:00,03113_01-06-2023-11.30,56.85,68.20,109.75
03123,60000,71801,AVE,2023-06-01 12:30:00,2023-06-01 15:40:00,0 days 03:10:00,03123_01-06-2023-12.30,56.85,68.20,94.60
03131,60000,71801,AVE,2023-06-01 13:00:00,2023-06-01 15:30:00,0 days 02:30:00,03131_01-06-2023-13.00,67.10,80.50,161.80
19725,60000,71801,AVE,2023-06-01 13:25:00,2023-06-01 16:22:00,0 days 02:57:00,19725_01-06-2023-13.25,56.85,68.20,
03143,60000,71801,AVE,2023-06-01 14:30:00,2023-06-01 17:20:00,0 days 02:50:00,03143_01-06-2023-14.30,28.45,39.80,185.35
03151,60000,71801,AVE,2023-06-01 15:00:00,2023-06-01 17:29:00,0 days 02:29:00,03151_01-06-2023-15.00,53.70,67.10,126.10
03153,60000,71801,AVE,2023-06-01 15:30:00,2023-06-01 18:42:00,0 days 03:12:00,03153_01-06-2023-15.30,45.50,56.85,87.05
03161,60000,71801,AVE,2023-06-01 16:00:00,2023-06-01 18:30:00,0 days 02:30:00,03161_01-06-2023-16.00,80.50,93.95,179.65
03163,60000,71801,AVE,2023-06-01 16:30:00,2023-06-01 19:15:00,0 days 02:45:00,03163_01-06-2023-16.30,68.20,79.60,155.10
03171,60000,71801,AVE,2023-06-01 17:00:00,2023-06-01 19:30:00,0 days 02:30:00,03171_01-06-2023-17.00,93.95,107.35,197.50
03173,60000,71801,AVE,2023-06-01 17:30:00,2023-06-01 20:42:00,0 days 03:12:00,03173_01-06-2023-17.30,79.60,90.95,124.85
06307,60000,71801,AVLO,2023-06-01 18:00:00,2023-06-01 20:30:00,0 days 02:30:00,06307_01-06-2023-18.00,39.00,,
03183,60000,71801,AVE,2023-06-01 18:30:00,2023-06-01 21:20:00,0 days 02:50:00,03183_01-06-2023-18.30,68.20,79.60,109.75
03191,60000,71801,AVE,2023-06-01 19:00:00,2023-06-01 21:30:00,0 days 02:30:00,03191_01-06-2023-19.00,93.95,107.35,179.65
06309,60000,71801,AVLO,2023-06-01 19:30:00,2023-06-01 22:46:00,0 days 03:16:00,06309_01-06-2023-19.30,35.00,,
03201,60000,71801,AVE,2023-06-01 20:00:00,2023-06-01 22:30:00,0 days 02:30:00,03201_01-06-2023-20.00,80.50,93.95,197.50
03203,60000,71801,AVE,2023-06-01 20:40:00,2023-06-01 23:55:00,0 days 03:15:00,03203_01-06-2023-20.40,22.75,34.10,87.05
