service_id,stop_id,arrival,departure
0003I_01-02-2026-08.22,60000,0,0
0003I_01-02-2026-08.22,71801,157,157
0003I_01-02-2026-08.50,60000,0,0
0003I_01-02-2026-08.50,71801,157,157
0002I_01-02-2026-09.22,60000,0,0
0002I_01-02-2026-09.22,04040,78,79
0002I_01-02-2026-09.22,71801,172,172
0001I_01-02-2026-09.57,60000,0,0
0001I_01-02-2026-09.57,04040,80,81
0001I_01-02-2026-09.57,71801,172,172
0002I_01-02-2026-11.22,60000,0,0
0002I_01-02-2026-11.22,04040,78,79
0002I_01-02-2026-11.22,71801,172,172
0002I_01-02-2026-12.22,60000,0,0
0002I_01-02-2026-12.22,04040,78,79
0002I_01-02-2026-12.22,71801,172,172
0001I_01-02-2026-14.02,60000,0,0
0001I_01-02-2026-14.02,04040,80,81
0001I_01-02-2026-14.02,71801,172,172
0005I_01-02-2026-14.42,60000,0,0
0005I_01-02-2026-14.42,04040,80,81
0005I_01-02-2026-14.42,71801,179,179
0003I_01-02-2026-15.52,60000,0,0
0003I_01-02-2026-15.52,71801,157,157
0003I_01-02-2026-16.37,60000,0,0
0003I_01-02-2026-16.37,71801,157,157
0002I_01-02-2026-17.22,60000,0,0
0002I_01-02-2026-17.22,04040,78,79
0002I_01-02-2026-17.22,71801,172,172
0003I_01-02-2026-18.32,60000,0,0
0003I_01-02-2026-18.32,71801,157,157
0002I_01-02-2026-19.29,60000,0,0
0002I_01-02-2026-19.29,04040,78,79
0002I_01-02-2026-19.29,71801,172,172
0003I_01-02-2026-20.56,60000,0,0
0003I_01-02-2026-20.56,71801,157,157
0004I_02-02-2026-06.09,60000,0,0
0004I_02-02-2026-06.09,04040,79,80
0004I_02-02-2026-06.09,71801,171,171
0003I_02-02-2026-07.22,60000,0,0
0003I_02-02-2026-07.22,71801,157,157
0003I_02-02-2026-08.22,60000,0,0
0003I_02-02-2026-08.22,71801,157,157
0003I_02-02-2026-08.50,60000,0,0
0003I_02-02-2026-08.50,71801,157,157
0002I_02-02-2026-09.22,60000,0,0
0002I_02-02-2026-09.22,04040,78,79
0002I_02-02-2026-09.22,71801,172,172
0001I_02-02-2026-09.57,60000,0,0
0001I_02-02-2026-09.57,04040,80,81
0001I_02-02-2026-09.57,71801,172,172
0002I_02-02-2026-11.22,60000,0,0
0002I_02-02-2026-11.22,04040,78,79
0002I_02-02-2026-11.22,71801,172,172
0002I_02-02-2026-12.22,60000,0,0
0002I_02-02-2026-12.22,04040,78,79
0002I_02-02-2026-12.22,71801,172,172
0001I_02-02-2026-14.02,60000,0,0
0001I_02-02-2026-14.02,04040,80,81
0001I_02-02-2026-14.02,71801,172,172
0005I_02-02-2026-14.42,60000,0,0
0005I_02-02-2026-14.42,04040,80,81
0005I_02-02-2026-14.42,71801,179,179
0003I_02-02-2026-15.52,60000,0,0
0003I_02-02-2026-15.52,71801,157,157
0003I_02-02-2026-16.37,60000,0,0
0003I_02-02-2026-16.37,71801,157,157
0002I_02-02-2026-17.22,60000,0,0
0002I_02-02-2026-17.22,04040,78,79
0002I_02-02-2026-17.22,71801,172,172
0003I_02-02-2026-18.32,60000,0,0
0003I_02-02-2026-18.32,71801,157,157
0002I_02-02-2026-19.29,60000,0,0
0002I_02-02-2026-19.29,04040,78,79
0002I_02-02-2026-19.29,71801,172,172
0004I_03-02-2026-06.09,60000,0,0
0004I_03-02-2026-06.09,04040,79,80
0004I_03-02-2026-06.09,71801,171,171
0003I_03-02-2026-07.22,60000,0,0
0003I_03-02-2026-07.22,71801,157,157
0003I_03-02-2026-08.22,60000,0,0
