service_id,0,1,2
06301_01-02-2023-06.15,9.00,,
03063_01-02-2023-06.30,68.20,79.60,109.75
03071_01-02-2023-07.00,107.35,120.80,161.80
17050_01-02-2023-07.15,43.25,,
03073_01-02-2023-07.30,22.75,39.80,140.00
03081_01-02-2023-08.00,120.80,134.20,161.80
03083_01-02-2023-08.30,90.95,102.35,140.00
03091_01-02-2023-09.00,20.15,46.95,161.80
03093_01-02-2023-09.30,90.95,102.35,140.00
06303_01-02-2023-10.30,25.00,,
03113_01-02-2023-11.30,17.05,39.80,140.00
03123_01-02-2023-12.30,79.60,90.95,124.85
03131_01-02-2023-13.00,93.95,107.35,143.95
19725_01-02-2023-13.25,56.85,68.20,109.75
03143_01-02-2023-14.30,28.45,39.80,185.35
03153_01-02-2023-15.30,90.95,102.35,140.00
03161_01-02-2023-16.00,93.95,107.35,143.95
03163_01-02-2023-16.30,79.60,90.95,140.00
03171_01-02-2023-17.00,107.35,120.80,
03173_01-02-2023-17.30,22.75,113.70,140.00
06307_01-02-2023-18.00,69.00,,
03183_01-02-2023-18.30,102.35,113.70,155.10
03191_01-02-2023-19.00,107.35,120.80,161.80
06309_01-02-2023-19.30,35.00,,
03201_01-02-2023-20.00,67.10,80.50,108.25
03203_01-02-2023-20.40,56.85,68.20,109.75
03211_01-02-2023-21.10,17.05,39.80,94.60
06301_02-02-2023-06.15,9.00,,
03063_02-02-2023-06.30,17.05,39.80,140.00
03071_02-02-2023-07.00,107.35,120.80,161.80
17050_02-02-2023-07.15,43.25,,
03073_02-02-2023-07.30,17.05,39.80,140.00
03081_02-02-2023-08.00,93.95,107.35,143.95
03083_02-02-2023-08.30,90.95,102.35,140.00
03091_02-02-2023-09.00,20.15,46.95,143.95
03093_02-02-2023-09.30,90.95,102.35,140.00
06303_02-02-2023-10.30,39.00,,
03113_02-02-2023-11.30,45.50,56.85,124.85
03123_02-02-2023-12.30,68.20,79.60,109.75
03131_02-02-2023-13.00,67.10,80.50,108.25
19725_02-02-2023-13.25,68.20,79.60,109.75
03143_02-02-2023-14.30,,166.35,185.35
03153_02-02-2023-15.30,90.95,102.35,140.00
03161_02-02-2023-16.00,107.35,120.80,161.80
03163_02-02-2023-16.30,90.95,102.35,140.00
03171_02-02-2023-17.00,120.80,134.20,
03173_02-02-2023-17.30,102.35,113.70,
06307_02-02-2023-18.00,89.00,,
03183_02-02-2023-18.30,102.35,113.70,155.10
03191_02-02-2023-19.00,120.80,134.20,
06309_02-02-2023-19.30,45.00,,
03201_02-02-2023-20.00,80.50,93.95,126.10
03203_02-02-2023-20.40,17.05,39.80,185.35
03211_02-02-2023-21.10,28.45,39.80,124.85
06301_03-02-2023-06.15,19.00,,
03063_03-02-2023-06.30,22.75,39.80,109.75
03071_03-02-2023-07.00,107.35,120.80,143.95
17050_03-02-2023-07.15,43.25,,
03073_03-02-2023-07.30,68.20,79.60,109.75
03081_03-02-2023-08.00,,142.80,161.80
03091_03-02-2023-09.00,67.10,80.50,126.10
03093_03-02-2023-09.30,90.95,102.35,140.00
06303_03-02-2023-10.30,49.00,,
03113_03-02-2023-11.30,,136.10,155.10
03123_03-02-2023-12.30,90.95,102.35,140.00
19725_03-02-2023-13.25,90.95,102.35,140.00
03143_03-02-2023-14.30,,166.35,185.35
03153_03-02-2023-15.30,,136.10,155.10
03161_03-02-2023-16.00,107.35,120.80,161.80
03163_03-02-2023-16.30,102.35,113.70,140.00
03171_03-02-2023-17.00,107.35,120.80,161.80
03173_03-02-2023-17.30,,136.10,155.10
06307_03-02-2023-18.00,79.00,,
03183_03-02-2023-18.30,102.35,113.70,140.00
03191_03-02-2023-19.00,,160.65,179.65
06309_03-02-2023-19.30,49.00,,
03201_03-02-2023-20.00,67.10,80.50,108.25
03203_03-02-2023-20.40,90.95,102.35,140.00
03211_03-02-2023-21.10,28.45,39.80,94.60
06301_04-02-2023-06.15,45.00,,
03073_04-02-2023-07.30,90.95,102.35,140.00
03083_04-02-2023-08.30,68.20,79.60,109.75
03091_04-02-2023-09.00,40.25,53.70,143.95
03093_04-02-2023-09.30,90.95,102.35,140.00
06303_04-02-2023-10.30,59.00,,
03113_04-02-2023-11.30,102.35,113.70,140.00
03123_04-02-2023-12.30,68.20,79.60,109.75
19725_04-02-2023-13.25,17.05,39.80,124.85
03153_04-02-2023-15.30,17.05,39.80,140.00
03163_04-02-2023-16.30,68.20,79.60,124.85
03173_04-02-2023-17.30,17.05,39.80,140.00
06307_04-02-2023-18.00,29.00,,
03183_04-02-2023-18.30,79.60,90.95,140.00
06309_04-02-2023-19.30,,,
03203_04-02-2023-20.40,17.05,39.80,185.35
06301_05-02-2023-06.15,9.00,,
03073_05-02-2023-07.30,17.05,39.80,124.85
03083_05-02-2023-08.30,68.20,79.60,109.75
03093_05-02-2023-09.30,39.80,51.15,140.00
06303_05-02-2023-10.30,59.00,,
03113_05-02-2023-11.30,,136.10,155.10
03123_05-02-2023-12.30,102.35,113.70,140.00
03131_05-02-2023-13.00,93.95,107.35,143.95
19725_05-02-2023-13.25,90.95,102.35,140.00
03143_05-02-2023-14.30,90.95,102.35,140.00
03153_05-02-2023-15.30,,136.10,155.10
03161_05-02-2023-16.00,120.80,134.20,161.80
03163_05-02-2023-16.30,102.35,113.70,140.00
03171_05-02-2023-17.00,120.80,134.20,161.80
03173_05-02-2023-17.30,113.70,125.05,155.10
06307_05-02-2023-18.00,79.00,,
03183_05-02-2023-18.30,102.35,113.70,140.00
03191_05-02-2023-19.00,107.35,120.80,179.65
06309_05-02-2023-19.30,99.00,,
03201_05-02-2023-20.00,107.35,120.80,161.80
03203_05-02-2023-20.40,,136.10,155.10
03211_05-02-2023-21.10,136.45,147.80,185.35
06301_06-02-2023-06.15,39.00,,
03063_06-02-2023-06.30,34.10,45.50,140.00
03071_06-02-2023-07.00,107.35,120.80,161.80
17050_06-02-2023-07.15,43.25,,
03073_06-02-2023-07.30,90.95,102.35,140.00
03081_06-02-2023-08.00,107.35,120.80,161.80
03083_06-02-2023-08.30,79.60,90.95,124.85
03091_06-02-2023-09.00,46.95,60.40,161.80
03093_06-02-2023-09.30,90.95,102.35,140.00
06303_06-02-2023-10.30,45.00,,
03113_06-02-2023-11.30,28.45,39.80,140.00
03123_06-02-2023-12.30,68.20,79.60,109.75
03131_06-02-2023-13.00,53.70,67.10,99.30
19725_06-02-2023-13.25,56.85,68.20,94.60
03143_06-02-2023-14.30,28.45,39.80,185.35
03153_06-02-2023-15.30,56.85,68.20,94.60
03161_06-02-2023-16.00,80.50,93.95,126.10
03163_06-02-2023-16.30,68.20,79.60,140.00
03171_06-02-2023-17.00,20.15,46.95,161.80
03173_06-02-2023-17.30,90.95,102.35,124.85
06307_06-02-2023-18.00,39.00,,
03183_06-02-2023-18.30,79.60,90.95,124.85
03191_06-02-2023-19.00,93.95,107.35,143.95
06309_06-02-2023-19.30,45.00,,
03201_06-02-2023-20.00,67.10,80.30,99.30
03203_06-02-2023-20.40,17.05,39.80,124.85
03211_06-02-2023-21.10,17.05,39.80,71.95
06301_07-02-2023-06.15,9.00,,
03063_07-02-2023-06.30,56.85,68.05,87.05
03071_07-02-2023-07.00,107.35,120.80,161.80
17050_07-02-2023-07.15,43.25,,
03073_07-02-2023-07.30,17.05,39.80,140.00
03081_07-02-2023-08.00,107.35,120.80,161.80
03083_07-02-2023-08.30,79.60,90.95,124.85
03091_07-02-2023-09.00,20.15,46.95,143.95
03093_07-02-2023-09.30,79.60,90.95,124.85
06303_07-02-2023-10.30,29.00,,
03113_07-02-2023-11.30,79.60,90.75,109.75
03123_07-02-2023-12.30,56.85,68.05,87.05
03131_07-02-2023-13.00,20.15,46.95,143.95
19725_07-02-2023-13.25,45.50,56.85,79.50
03143_07-02-2023-14.30,56.85,68.20,109.75
03153_07-02-2023-15.30,79.60,90.95,124.85
03161_07-02-2023-16.00,93.95,107.35,143.95
03163_07-02-2023-16.30,79.60,90.95,140.00
03171_07-02-2023-17.00,107.35,120.80,161.80
03173_07-02-2023-17.30,17.05,39.80,140.00
06307_07-02-2023-18.00,35.00,,
03183_07-02-2023-18.30,90.95,102.35,140.00
03191_07-02-2023-19.00,107.35,120.80,161.80
06309_07-02-2023-19.30,35.00,,
03201_07-02-2023-20.00,67.10,80.30,99.30
03203_07-02-2023-20.40,17.05,39.80,87.05
03211_07-02-2023-21.10,17.05,39.80,71.95
06301_08-02-2023-06.15,9.00,,
03063_08-02-2023-06.30,45.50,56.85,79.50
03071_08-02-2023-07.00,93.95,107.35,143.95
17050_08-02-2023-07.15,43.25,,
03073_08-02-2023-07.30,17.05,39.80,124.85
03081_08-02-2023-08.00,107.35,120.80,161.80
03083_08-02-2023-08.30,79.60,90.95,124.85
03091_08-02-2023-09.00,20.15,46.95,161.80
03093_08-02-2023-09.30,79.60,90.95,140.00
06303_08-02-2023-10.30,29.00,,
03113_08-02-2023-11.30,17.05,39.80,215.60
03123_08-02-2023-12.30,68.20,79.60,109.75
03131_08-02-2023-13.00,80.50,93.95,126.10
19725_08-02-2023-13.25,56.85,68.05,87.05
03143_08-02-2023-14.30,17.05,39.80,185.35
03153_08-02-2023-15.30,79.60,90.95,124.85
03161_08-02-2023-16.00,80.50,93.95,126.10
03163_08-02-2023-16.30,90.95,102.35,
03171_08-02-2023-17.00,93.95,107.35,143.95
03173_08-02-2023-17.30,17.05,39.80,140.00
06307_08-02-2023-18.00,45.00,,
03183_08-02-2023-18.30,90.95,102.35,140.00
03191_08-02-2023-19.00,107.35,120.80,161.80
06309_08-02-2023-19.30,39.00,,
