service_id,stop_id,arrival,departure
03301_01-02-2026-06.27,60000,0,0
03301_01-02-2026-06.27,70600,59,60
03301_01-02-2026-06.27,04040,85,86
03301_01-02-2026-06.27,04104,146,148
03301_01-02-2026-06.27,71801,184,184
03073_01-02-2026-07.27,60000,0,0
03073_01-02-2026-07.27,04007,25,26
03073_01-02-2026-07.27,04040,84,85
03073_01-02-2026-07.27,78400,128,130
03073_01-02-2026-07.27,04104,157,159
03073_01-02-2026-07.27,71801,199,215
03073_01-02-2026-07.27,79206,255,257
03073_01-02-2026-07.27,04307,272,272
03083_01-02-2026-08.27,60000,0,0
03083_01-02-2026-08.27,04040,78,79
03083_01-02-2026-08.27,71801,172,172
02561_01-02-2026-09.27,51003,0,0
02561_01-02-2026-09.27,50500,46,48
02561_01-02-2026-09.27,37300,94,96
02561_01-02-2026-09.27,37200,108,110
02561_01-02-2026-09.27,60000,176,207
02561_01-02-2026-09.27,04040,286,287
02561_01-02-2026-09.27,78400,332,334
02561_01-02-2026-09.27,04104,360,362
02561_01-02-2026-09.27,71801,401,409
02561_01-02-2026-09.27,79206,450,452
02561_01-02-2026-09.27,04307,467,467
03303_01-02-2026-10.27,60000,0,0
03303_01-02-2026-10.27,04040,80,81
03303_01-02-2026-10.27,71801,172,172
03113_01-02-2026-11.27,60000,0,0
03113_01-02-2026-11.27,70600,58,59
03113_01-02-2026-11.27,04040,84,85
03113_01-02-2026-11.27,78400,128,130
03113_01-02-2026-11.27,04104,157,159
03113_01-02-2026-11.27,71801,199,199
02591_01-02-2026-12.27,51003,0,0
02591_01-02-2026-12.27,50500,41,43
02591_01-02-2026-12.27,60000,158,173
02591_01-02-2026-12.27,04040,251,252
02591_01-02-2026-12.27,78400,295,297
02591_01-02-2026-12.27,71801,370,380
02591_01-02-2026-12.27,79206,421,423
02591_01-02-2026-12.27,04307,438,438
09725_01-02-2026-13.15,60000,0,0
09725_01-02-2026-13.15,04007,26,28
09725_01-02-2026-13.15,04040,85,88
09725_01-02-2026-13.15,04104,142,144
09725_01-02-2026-13.15,71801,184,196
09725_01-02-2026-13.15,79206,237,240
09725_01-02-2026-13.15,04307,254,257
09725_01-02-2026-13.15,87374,280,290
09725_01-02-2026-13.15,87088,325,328
09725_01-02-2026-13.15,87173,390,399
09725_01-02-2026-13.15,87302,428,431
09725_01-02-2026-13.15,87814,457,460
09725_01-02-2026-13.15,87912,479,482
09725_01-02-2026-13.15,87089,495,495
03141_01-02-2026-13.57,60000,0,0
03141_01-02-2026-13.57,71801,157,157
03143_01-02-2026-14.27,60000,0,0
03143_01-02-2026-14.27,70600,58,59
03143_01-02-2026-14.27,04040,84,85
03143_01-02-2026-14.27,71801,177,187
03143_01-02-2026-14.27,79206,233,236
03143_01-02-2026-14.27,04307,252,252
03305_01-02-2026-15.27,60000,0,0
03305_01-02-2026-15.27,70600,58,59
03305_01-02-2026-15.27,04040,83,84
03305_01-02-2026-15.27,78400,128,130
03305_01-02-2026-15.27,04104,156,158
03305_01-02-2026-15.27,71801,199,199
03161_01-02-2026-15.57,60000,0,0
03161_01-02-2026-15.57,71801,157,157
03163_01-02-2026-16.27,60000,0,0
