service_id,stop_id,arrival,departure,stop_sequence
03063_01-02-2023-06.30,60000,06:30,06:30,1
03063_01-02-2023-06.30,70600,07:25,07:26,2
03063_01-02-2023-06.30,04040,07:51,07:52,3
03063_01-02-2023-06.30,71801,09:20,09:20,4
03071_01-02-2023-07.00,60000,07:00,07:00,1
03071_01-02-2023-07.00,71801,09:30,09:30,2
03073_01-02-2023-07.30,60000,07:30,07:30,1
03073_01-02-2023-07.30,70200,07:53,07:54,2
03073_01-02-2023-07.30,04040,08:51,08:52,3
03073_01-02-2023-07.30,78400,09:35,09:37,4
03073_01-02-2023-07.30,71500,10:04,10:06,5
03073_01-02-2023-07.30,71801,10:42,10:42,6
03081_01-02-2023-08.00,60000,08:00,08:00,1
03081_01-02-2023-08.00,71801,10:30,10:30,2
03083_01-02-2023-08.30,60000,08:30,08:30,1
03083_01-02-2023-08.30,04040,09:45,09:46,2
03083_01-02-2023-08.30,71801,11:15,11:15,3
03091_01-02-2023-09.00,60000,09:00,09:00,1
03091_01-02-2023-09.00,71801,11:30,11:30,2
03093_01-02-2023-09.30,60000,09:30,09:30,1
03093_01-02-2023-09.30,04040,10:45,10:46,2
03093_01-02-2023-09.30,78400,11:29,11:31,3
03093_01-02-2023-09.30,71500,11:58,12:00,4
03093_01-02-2023-09.30,71801,12:37,12:45,5
03093_01-02-2023-09.30,79300,13:23,13:25,6
03093_01-02-2023-09.30,04307,13:40,13:40,7
03113_01-02-2023-11.30,60000,11:30,11:30,1
03113_01-02-2023-11.30,70600,12:25,12:26,2
03113_01-02-2023-11.30,04040,12:51,12:52,3
03113_01-02-2023-11.30,78400,13:35,13:37,4
03113_01-02-2023-11.30,71500,14:04,14:06,5
03113_01-02-2023-11.30,71801,14:42,14:42,6
03123_01-02-2023-12.30,60000,12:30,12:30,1
03123_01-02-2023-12.30,04040,13:45,13:46,2
03123_01-02-2023-12.30,78400,14:29,14:31,3
03123_01-02-2023-12.30,71801,15:40,15:50,4
03123_01-02-2023-12.30,79300,16:28,16:30,5
03123_01-02-2023-12.30,04307,16:45,16:45,6
03131_01-02-2023-13.00,60000,13:00,13:00,1
03131_01-02-2023-13.00,71801,15:30,15:30,2
19725_01-02-2023-13.25,60000,13:25,13:25,1
19725_01-02-2023-13.25,70200,13:48,13:50,2
19725_01-02-2023-13.25,04040,14:47,14:50,3
19725_01-02-2023-13.25,71500,15:44,15:46,4
19725_01-02-2023-13.25,71801,16:22,16:34,5
19725_01-02-2023-13.25,79300,17:12,17:15,6
19725_01-02-2023-13.25,04307,17:29,17:29,7
03143_01-02-2023-14.30,60000,14:30,14:30,1
03143_01-02-2023-14.30,70600,15:25,15:26,2
03143_01-02-2023-14.30,04040,15:51,15:52,3
03143_01-02-2023-14.30,71801,17:20,17:30,4
03143_01-02-2023-14.30,79300,18:08,18:10,5
03143_01-02-2023-14.30,04307,18:25,18:25,6
03153_01-02-2023-15.30,60000,15:30,15:30,1
03153_01-02-2023-15.30,70600,16:25,16:26,2
03153_01-02-2023-15.30,04040,16:51,16:52,3
03153_01-02-2023-15.30,78400,17:35,17:37,4
03153_01-02-2023-15.30,71500,18:04,18:06,5
03153_01-02-2023-15.30,71801,18:42,18:42,6
03161_01-02-2023-16.00,60000,16:00,16:00,1
03161_01-02-2023-16.00,71801,18:30,18:30,2
03163_01-02-2023-16.30,60000,16:30,16:30,1
03163_01-02-2023-16.30,04040,17:45,17:46,2
03163_01-02-2023-16.30,71801,19:15,19:25,3
03163_01-02-2023-16.30,79300,20:11,20:13,4
03163_01-02-2023-16.30,04307,20:28,20:28,5
03171_01-02-2023-17.00,60000,17:00,17:00,1
03171_01-02-2023-17.00,71801,19:30,19:30,2
03173_01-02-2023-17.30,60000,17:30,17:30,1
03173_01-02-2023-17.30,70200,17:53,17:54,2
03173_01-02-2023-17.30,04040,18:51,18:52,3
03173_01-02-2023-17.30,78400,19:35,19:37,4
03173_01-02-2023-17.30,71500,20:04,20:06,5
03173_01-02-2023-17.30,71801,20:42,20:42,6
03183_01-02-2023-18.30,60000,18:30,18:30,1
03183_01-02-2023-18.30,04040,19:45,19:46,2
03183_01-02-2023-18.30,71500,20:44,20:46,3
03183_01-02-2023-18.30,71801,21:20,21:20,4
03191_01-02-2023-19.00,60000,19:00,19:00,1
03191_01-02-2023-19.00,71801,21:30,21:40,2
03191_01-02-2023-19.00,79300,22:18,22:20,3
03191_01-02-2023-19.00,04307,22:35,22:35,4
03201_01-02-2023-20.00,60000,20:00,20:00,1
03201_01-02-2023-20.00,71801,22:30,22:30,2
03203_01-02-2023-20.40,60000,20:40,20:40,1
03203_01-02-2023-20.40,70200,21:03,21:04,2
03203_01-02-2023-20.40,70600,21:40,21:41,3
03203_01-02-2023-20.40,04040,22:05,22:06,4
03203_01-02-2023-20.40,78400,22:49,22:51,5
03203_01-02-2023-20.40,71500,23:18,23:20,6
03203_01-02-2023-20.40,71801,23:55,23:55,7
03211_01-02-2023-21.10,60000,21:10,21:10,1
03211_01-02-2023-21.10,71801,23:40,23:40,2
03063_02-02-2023-06.30,60000,06:30,06:30,1
03063_02-02-2023-06.30,70600,07:25,07:26,2
03063_02-02-2023-06.30,04040,07:51,07:52,3
03063_02-02-2023-06.30,71801,09:20,09:20,4
03071_02-02-2023-07.00,60000,07:00,07:00,1
03071_02-02-2023-07.00,71801,09:30,09:30,2
03073_02-02-2023-07.30,60000,07:30,07:30,1
03073_02-02-2023-07.30,70200,07:53,07:54,2
03073_02-02-2023-07.30,04040,08:51,08:52,3
03073_02-02-2023-07.30,78400,09:35,09:37,4
03073_02-02-2023-07.30,71500,10:04,10:06,5
03073_02-02-2023-07.30,71801,10:42,10:42,6
03081_02-02-2023-08.00,60000,08:00,08:00,1
03081_02-02-2023-08.00,71801,10:30,10:30,2
03083_02-02-2023-08.30,60000,08:30,08:30,1
03083_02-02-2023-08.30,04040,09:45,09:46,2
03083_02-02-2023-08.30,71801,11:15,11:15,3
03091_02-02-2023-09.00,60000,09:00,09:00,1
03091_02-02-2023-09.00,71801,11:30,11:30,2
