service_id,trip_id,train_type,departure,arrival,duration
03063_01-02-2023-06.30,03063,AVE,2023-02-01 06:30:00,2023-02-01 09:20:00,2:50
03071_01-02-2023-07.00,03071,AVE,2023-02-01 07:00:00,2023-02-01 09:30:00,2:30
03073_01-02-2023-07.30,03073,AVE,2023-02-01 07:30:00,2023-02-01 10:42:00,3:12
03081_01-02-2023-08.00,03081,AVE,2023-02-01 08:00:00,2023-02-01 10:30:00,2:30
03083_01-02-2023-08.30,03083,AVE,2023-02-01 08:30:00,2023-02-01 11:15:00,2:45
03091_01-02-2023-09.00,03091,AVE,2023-02-01 09:00:00,2023-02-01 11:30:00,2:30
03093_01-02-2023-09.30,03093,AVE,2023-02-01 09:30:00,2023-02-01 12:37:00,3:7
03113_01-02-2023-11.30,03113,AVE,2023-02-01 11:30:00,2023-02-01 14:42:00,3:12
03123_01-02-2023-12.30,03123,AVE,2023-02-01 12:30:00,2023-02-01 15:40:00,3:10
03131_01-02-2023-13.00,03131,AVE,2023-02-01 13:00:00,2023-02-01 15:30:00,2:30
19725_01-02-2023-13.25,19725,AVE,2023-02-01 13:25:00,2023-02-01 16:22:00,2:57
03143_01-02-2023-14.30,03143,AVE,2023-02-01 14:30:00,2023-02-01 17:20:00,2:50
03153_01-02-2023-15.30,03153,AVE,2023-02-01 15:30:00,2023-02-01 18:42:00,3:12
03161_01-02-2023-16.00,03161,AVE,2023-02-01 16:00:00,2023-02-01 18:30:00,2:30
03163_01-02-2023-16.30,03163,AVE,2023-02-01 16:30:00,2023-02-01 19:15:00,2:45
03171_01-02-2023-17.00,03171,AVE,2023-02-01 17:00:00,2023-02-01 19:30:00,2:30
03173_01-02-2023-17.30,03173,AVE,2023-02-01 17:30:00,2023-02-01 20:42:00,3:12
03183_01-02-2023-18.30,03183,AVE,2023-02-01 18:30:00,2023-02-01 21:20:00,2:50
03191_01-02-2023-19.00,03191,AVE,2023-02-01 19:00:00,2023-02-01 21:30:00,2:30
03201_01-02-2023-20.00,03201,AVE,2023-02-01 20:00:00,2023-02-01 22:30:00,2:30
03203_01-02-2023-20.40,03203,AVE,2023-02-01 20:40:00,2023-02-01 23:55:00,3:15
03211_01-02-2023-21.10,03211,AVE,2023-02-01 21:10:00,2023-02-01 23:40:00,2:30
03063_02-02-2023-06.30,03063,AVE,2023-02-02 06:30:00,2023-02-02 09:20:00,2:50
03071_02-02-2023-07.00,03071,AVE,2023-02-02 07:00:00,2023-02-02 09:30:00,2:30
03073_02-02-2023-07.30,03073,AVE,2023-02-02 07:30:00,2023-02-02 10:42:00,3:12
03081_02-02-2023-08.00,03081,AVE,2023-02-02 08:00:00,2023-02-02 10:30:00,2:30
03083_02-02-2023-08.30,03083,AVE,2023-02-02 08:30:00,2023-02-02 11:15:00,2:45
